Date,Price,Open,High,Low,Vol.,Change %
06/08/08,"19,276.63","19,204.02","19,318.02","19,063.55",,0.97%
05/08/08,"19,090.80","19,019.69","19,257.77","18,916.79",,0.71%
04/08/08,"18,956.99","18,964.06","19,035.90","18,758.20",,-0.35%
01/08/08,"19,023.94","19,103.64","19,143.26","18,948.93",,-0.75%
31/07/08,"19,167.96","19,097.17","19,183.41","18,917.24",,0.46%
30/07/08,"19,079.28","19,102.46","19,160.41","18,986.43",,0.17%
29/07/08,"19,046.84","18,886.40","19,061.50","18,819.26",,1.63%
28/07/08,"18,741.28","18,985.01","19,116.68","18,707.83",,-1.03%
25/07/08,"18,937.10","18,805.21","19,103.04","18,736.85",,0.24%
24/07/08,"18,892.66","19,182.64","19,288.18","18,841.38",,-1.79%
23/07/08,"19,236.94","19,349.23","19,444.99","19,195.39",,-0.37%
22/07/08,"19,309.24","19,460.58","19,477.61","19,217.77",,-1.07%
21/07/08,"19,517.23","19,336.89","19,600.71","19,312.26",,1.82%
18/07/08,"19,169.06","19,270.11","19,593.20","19,094.58",,-0.42%
17/07/08,"19,250.82","19,669.77","19,790.68","19,247.13",,-1.95%
16/07/08,"19,634.44","19,418.79","19,769.25","19,418.79",,0.93%
15/07/08,"19,453.13","18,998.93","19,557.63","18,777.02",,1.63%
14/07/08,"19,142.00","19,021.68","19,214.04","18,864.64",,1.49%
11/07/08,"18,860.11","18,831.49","19,030.44","18,709.45",,0.26%
10/07/08,"18,811.29","18,262.95","18,926.07","18,192.53",,2.23%
08/07/08,"18,400.85","18,051.98","18,400.85","18,003.09",,1.78%
07/07/08,"18,079.85","18,385.90","18,479.14","17,976.92",,-0.95%
04/07/08,"18,253.77","18,250.11","18,340.22","18,156.68",,0.02%
03/07/08,"18,249.37","18,570.00","18,712.15","18,224.91",,-1.16%
02/07/08,"18,462.92","18,940.58","18,966.73","18,456.24",,-1.89%
01/07/08,"18,818.74","18,932.33","19,044.03","18,673.34",,-1.81%
30/06/08,"19,166.32","18,998.47","19,214.84","18,926.45",,0.98%
27/06/08,"18,979.93","18,733.93","18,989.73","18,569.25",,1.46%
26/06/08,"18,706.83","18,699.21","18,815.77","18,574.70",,-1.33%
25/06/08,"18,959.79","18,572.68","18,985.14","18,518.92",,2.49%
24/06/08,"18,499.47","18,638.26","18,651.18","18,384.39",,-0.64%
23/06/08,"18,619.02","18,609.46","18,686.72","18,503.60",,0.08%
20/06/08,"18,604.77","18,872.22","18,886.01","18,485.64",,-1.30%
19/06/08,"18,849.15","18,772.48","19,005.07","18,731.84",,0.95%
18/06/08,"18,672.55","19,055.40","19,055.40","18,672.55",,-2.17%
17/06/08,"19,087.53","19,261.17","19,298.41","19,054.73",,-0.40%
16/06/08,"19,164.42","19,165.78","19,210.53","19,027.92",,0.06%
13/06/08,"19,153.61","19,344.26","19,344.26","19,117.92",,-1.17%
12/06/08,"19,380.68","19,342.39","19,493.45","19,215.98",,0.44%
11/06/08,"19,295.37","19,227.05","19,387.32","19,136.79",,0.37%
10/06/08,"19,224.21","19,324.04","19,324.04","18,994.71",,-1.07%
09/06/08,"19,432.65","19,175.79","19,451.93","19,135.91",,1.88%
06/06/08,"19,073.25","19,393.52","19,400.09","19,060.70",,-2.13%
05/06/08,"19,489.21","19,149.71","19,525.89","19,132.29",,2.24%
04/06/08,"19,062.25","18,800.65","19,106.51","18,739.61",,1.04%
03/06/08,"18,866.45","19,022.60","19,032.66","18,775.00",,-0.73%
02/06/08,"19,004.96","19,114.52","19,114.52","18,793.67",,-0.89%
30/05/08,"19,174.93","18,933.39","19,174.93","18,766.04",,1.87%
29/05/08,"18,822.43","18,844.16","19,150.96","18,778.88",,-0.59%
28/05/08,"18,934.46","18,388.53","18,979.07","18,326.05",,3.49%
27/05/08,"18,295.16","18,493.05","18,501.43","18,230.40",,-0.95%
26/05/08,"18,471.06","18,559.45","18,591.50","18,387.67",,-0.36%
23/05/08,"18,537.94","18,591.99","18,626.67","18,288.64",,-0.36%
21/05/08,"18,604.79","18,768.11","18,789.77","18,507.03",,-1.39%
20/05/08,"18,866.79","18,908.19","18,908.19","18,687.13",,-0.68%
19/05/08,"18,996.56","19,131.28","19,220.59","18,898.07",,-0.35%
16/05/08,"19,063.24","18,780.77","19,076.18","18,768.10",,1.82%
15/05/08,"18,723.37","18,422.48","18,789.37","18,399.20",,1.76%
14/05/08,"18,400.36","18,584.59","18,681.96","18,365.59",,-0.74%
13/05/08,"18,538.14","18,724.78","18,751.93","18,432.70",,-0.64%
12/05/08,"18,657.86","18,466.12","18,663.76","18,399.74",,1.30%
09/05/08,"18,418.32","18,422.67","18,426.33","18,265.32",,-0.33%
08/05/08,"18,480.16","18,467.61","18,549.66","18,354.48",,0.51%
07/05/08,"18,386.73","18,841.46","18,858.10","18,195.40",,-2.33%
06/05/08,"18,826.32","18,952.84","18,952.84","18,662.06",,-0.87%
