"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 20, 2007","6,534.13","6,534.13","6,534.13","6,534.13","","-0.28%"
"Sep 19, 2007","6,552.55","6,552.55","6,552.55","6,552.55","","1.03%"
"Sep 18, 2007","6,485.62","6,485.62","6,485.62","6,485.62","","4.20%"
"Sep 17, 2007","6,224.28","6,224.28","6,224.28","6,224.28","","-0.69%"
"Sep 14, 2007","6,267.82","6,267.82","6,267.82","6,267.82","","-0.24%"
"Sep 13, 2007","6,282.65","6,282.65","6,282.65","6,282.65","","2.11%"
"Sep 12, 2007","6,152.74","6,152.74","6,152.74","6,152.74","","-0.07%"
"Sep 11, 2007","6,157.18","6,157.18","6,157.18","6,157.18","","1.46%"
"Sep 10, 2007","6,068.85","6,068.85","6,068.85","6,068.85","","-3.70%"
"Sep 06, 2007","6,301.88","6,301.88","6,301.88","6,301.88","","0.29%"
"Sep 05, 2007","6,283.36","6,283.36","6,283.36","6,283.36","","-1.59%"
"Sep 04, 2007","6,384.98","6,384.98","6,384.98","6,384.98","","0.36%"
"Sep 03, 2007","6,361.89","6,361.89","6,361.89","6,361.89","","0.43%"
"Aug 31, 2007","6,334.54","6,334.54","6,334.54","6,334.54","","3.32%"
"Aug 30, 2007","6,131.09","6,131.09","6,131.09","6,131.09","","-0.30%"
"Aug 29, 2007","6,149.26","6,149.26","6,149.26","6,149.26","","1.81%"
"Aug 28, 2007","6,040.15","6,040.15","6,040.15","6,040.15","","-2.96%"
"Aug 27, 2007","6,224.23","6,224.23","6,224.23","6,224.23","","0.50%"
"Aug 24, 2007","6,193.15","6,193.15","6,193.15","6,193.15","","2.22%"
"Aug 23, 2007","6,058.67","6,058.67","6,058.67","6,058.67","","0.07%"
"Aug 22, 2007","6,054.17","6,054.17","6,054.17","6,054.17","","3.38%"
"Aug 21, 2007","5,856.02","5,856.02","5,856.02","5,856.02","","0.87%"
"Aug 20, 2007","5,805.34","5,805.34","5,805.34","5,805.34","","1.27%"
"Aug 17, 2007","5,732.36","5,732.36","5,732.36","5,732.36","","2.11%"
"Aug 16, 2007","5,614.17","5,614.17","5,614.17","5,614.17","","-2.99%"
"Aug 15, 2007","5,787.33","5,787.33","5,787.33","5,787.33","","-4.21%"
"Aug 14, 2007","6,041.45","6,041.45","6,041.45","6,041.45","","-2.90%"
"Aug 13, 2007","6,221.66","6,221.66","6,221.66","6,221.66","","-0.62%"
"Aug 10, 2007","6,260.66","6,260.66","6,260.66","6,260.66","","-1.22%"
"Aug 09, 2007","6,337.90","6,337.90","6,337.90","6,337.90","","-2.42%"
"Aug 08, 2007","6,494.90","6,494.90","6,494.90","6,494.90","","2.11%"
"Aug 07, 2007","6,360.82","6,360.82","6,360.82","6,360.82","","1.62%"
"Aug 06, 2007","6,259.48","6,259.48","6,259.48","6,259.48","","0.30%"
